"Term","CRN","Subject","Number","Section","Title","Campus","Enrollment","Capacity","Credit Hours","Delivery","Estimated Fees","Business Surcharge","Meeting Days","Meeting Times","Meeting Locations","Meeting Dates","Instructors","Description","Cross-List Sections","Course Level","Special Approval","Grade Mode","Additional Notes","Attribute Description"
"202620","10059","CHM","245","  B","Organic Chemistry Laboratory","Oxford","61","90","2","Face-to-Face","$30.00","None","T|F|F","8:00am-10:50am|10:15am-12:15pm|10:15am-12:15pm","HUG 272|BEN 102|LWS 100","01/26-05/08|05/15-05/15|05/15-05/15","Eilers, Markus","245 Organic Chemistry Laboratory (2)

Introduction to experimental techniques involved in synthesis, purification, and chemical identification of organic molecules. CAS-D/LAB. Prerequisite: CHM 244. Prerequisites or Co-requisite: CHM 242.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","10060","CHM","245","  C","Organic Chemistry Laboratory","Oxford","88","90","2","Face-to-Face","$30.00","None","T|F|F","1:15pm-4:10pm|10:15am-12:15pm|10:15am-12:15pm","HUG 272|LWS 100|BEN 102","01/26-05/08|05/15-05/15|05/15-05/15","Erb, Meredith","245 Organic Chemistry Laboratory (2)

Introduction to experimental techniques involved in synthesis, purification, and chemical identification of organic molecules. CAS-D/LAB. Prerequisite: CHM 244. Prerequisites or Co-requisite: CHM 242.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","12963","CHM","245","  D","Organic Chemistry Laboratory","Oxford","20","90","2","Face-to-Face","$30.00","None","R|F|F","8:00am-10:55am|10:15am-12:15pm|10:15am-12:15pm","HUG 272|BEN 102|LWS 100","01/26-05/08|05/15-05/15|05/15-05/15","Sanders-Johnson, Miranda","245 Organic Chemistry Laboratory (2)

Introduction to experimental techniques involved in synthesis, purification, and chemical identification of organic molecules. CAS-D/LAB. Prerequisite: CHM 244. Prerequisites or Co-requisite: CHM 242.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","12745","CHM","255","  A","Organic Chemistry Lab Chm Maj","Oxford","26","30","2","Face-to-Face","$30.00","None","W","1:15pm-5:15pm","HUG 274","01/26-05/08","Hartley, Scott","255 Organic Chemistry Laboratory for Chemistry Majors (2)

Introduction to modern experimental techniques in organic chemistry as applied to synthesis, purification, and determination of the structure of organic molecules. CAS-D/LAB. Prerequisite: CHM 254. Prerequisite or co-requisite: CHM 242 or CHM 252.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","12746","CHM","255","  B","Organic Chemistry Lab Chm Maj","Oxford","37","60","2","Face-to-Face","$30.00","None","R","1:15pm-5:15pm","HUG 274","01/26-05/08","Hartley, Scott","255 Organic Chemistry Laboratory for Chemistry Majors (2)

Introduction to modern experimental techniques in organic chemistry as applied to synthesis, purification, and determination of the structure of organic molecules. CAS-D/LAB. Prerequisite: CHM 254. Prerequisite or co-requisite: CHM 242 or CHM 252.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","10061","CHM","332","  A","Outlines Of Biochemistry","Oxford","76","120","3","Face-to-Face","None","None","MWF|F","8:30am-9:25am|8:00am-10:00am","HUG 141|HUG 141","01/26-05/08|05/15-05/15","Tai, Heeyoung","332 Outlines of Biochemistry (3)

Overview of the major topics of biochemistry. Topics include: biological functions of proteins, carbohydrates, lipids and nucleic acids, central metabolic pathways and controls, and relevant examples in nutrition and health. 3 Lec. CAS-D. Prerequisite: CHM 231, CHM 242, or CHM 252.","None","Undergraduate","None","Standard Letter","None","None"
"202620","10062","CHM","332L"," TA","Outlines Of Biochemistry Lab","Oxford","26","100","1","Face-to-Face","$30.00 - $31.50","None","W","1:15pm-3:15pm","SHD 152","02/02-03/20","Tai, Heeyoung","332L Outlines of Biochemistry Lab (1)

Laboratory course designed to enhance the learning experiences in CHM 332.  Emphasis on problem solving and data analysis using basic biochemical experiments. Prerequisite/co-requisite: CHM 332.","None","Undergraduate","None","Standard Letter","None","None"
"202620","14252","CHM","375","  A","Analytical Chem. for Majors","Oxford","14","16","3","Face-to-Face","$30.00 - $31.50","None","T|R|R","8:30am-11:25am|2:50pm-4:10pm|3:00pm-5:00pm","HUG 372|HUG 158|HUG 158","01/26-05/08|01/26-05/08|05/14-05/14","Danielson, Neil; Page, Jill","375 Analytical Chemistry for Majors (3)

Instrumental methods of analysis including theory, problem solving, and laboratory experiments applied to real-life samples. Instruction in writing and quantitative literacy. 1 Lec. 2 Lab. ADVW. PA-1C. CAS-Q. CAS-W. Prerequisites: CHM 242 or CHM 252.","None","Undergraduate","None","Standard Letter","None","Advanced Writing (ADVW); CAS - Quantitative Literacy (CASQ); CAS - Writing (CASW);  PA - Advanced Writing (PA1C)"
"202620","14253","CHM","375","  B","Analytical Chem. for Majors","Oxford","17","16","3","Face-to-Face","$30.00 - $31.50","None","T|R|R","1:15pm-4:10pm|2:50pm-4:10pm|3:00pm-5:00pm","HUG 372|HUG 158|HUG 158","01/26-05/08|01/26-05/08|05/14-05/14","Page, Jill; Danielson, Neil","375 Analytical Chemistry for Majors (3)

Instrumental methods of analysis including theory, problem solving, and laboratory experiments applied to real-life samples. Instruction in writing and quantitative literacy. 1 Lec. 2 Lab. ADVW. PA-1C. CAS-Q. CAS-W. Prerequisites: CHM 242 or CHM 252.","None","Undergraduate","None","Standard Letter","None","Advanced Writing (ADVW); CAS - Quantitative Literacy (CASQ); CAS - Writing (CASW);  PA - Advanced Writing (PA1C)"
"202620","16141","CHM","429","  A","Polymer Chemistry","Oxford","7","15","2","Face-to-Face","None","None","TR","10:05am-11:00am","HUG 142","01/26-05/08","Konkolewicz, Dominik","429/529 Polymer Chemistry (2) 

Comprehensive overview and examination of the methods used to synthesize and characterize macromolecules. Both descriptive and mechanistic organic chemistry, as it relates to polymer synthesis, is discussed. The relationship between molecular structure and material properties will be another focus of the course. Prerequisite: CHM 242 or CHM 252 or Graduate Standing.","CHM 429 (16141); CHM 529 (16142)","Undergraduate","None","Standard Letter","None","CASD - Natural Science (CASD)"
